Event ID,Date,Event Type,Who (Actor),Who (Recipient),What,Where,Why,How,Significance,Key Evidence
E001,2025-01-24,quote_issued,The Waffle Co,Forge Outdoors,Quote QU-0360 for BD KPI Dashboard Development Project,Written quote document,To provide estimated pricing for dashboard development,Formal quote submission,Foundation document establishing T&M contract basis not fixed price,Quote states: ESTIMATED ON A TIME AND MATERIALS BASIS
E002,2025-06-20,project_commencement_discussion,The Waffle Co,Roger Joyce (Forge),Discussion about commencing project based on historical quote,Communication with Roger Joyce,To restart project from 6-month-old quote,Discussion and agreement,Mutual understanding that original estimate might not hold due to age and complexity,Quote acknowledged as likely starting point only; approved by Roger Joyce
E003,2025-06 (late),project_work_commencement,The Waffle Co team,,Commenced development work on BD KPI Dashboard,Development work,Following approval from Roger Joyce,Technical development work,Project work begins,Data integration; dashboard visualization; business requirements; technical implementation
E004,2025-07-07,cost_awareness_communication,Cameron Stewart & Forge,,Notification of hours accumulation and cost discussion,Email communication,To maintain transparency on time and materials billing,Proactive client communication,Clear client awareness of hours beyond original estimate; client did not object,Cameron: 42.5 hours so far; Forge: Feel free to call to talk hours/$; subsequent calls not returned
E005,2025-07 (mid),data_reliability_warning,Cameron Stewart,Forge,Warning about data reliability issues with FLS field,Email/communication,Professional obligation to warn client about data accuracy issues,Written communication,The Waffle Company proactively identified and warned; client accepted risk,Only 49 Opps with data in FLS field; reporting wildly inaccurate if based on that
E006,2025-07-21,data_responsibility_acceptance,Adrian Trimmer (Forge),The Waffle Co,Explicit acceptance of data accuracy responsibility,Email communication,Clarifying responsibility for data quality issues,Written statement,Client expressly accepted responsibility for data accuracy issues,Adrian Trimmer: the correctness of the data is on us
E007,2025-07-24,critical_meeting,Adrian Trimmer & Nina Wilson (Forge) & The Waffle Co team,,Project status meeting with critical admissions and statements,Meeting,Discuss project status quality and concerns,Formal meeting with minutes,Client confirmed work met specifications; confirmed T&M basis; accepted data responsibility,"Adrian: No one's saying that it was not built to the specifications; I am paying you by the hour you work when I want do what I want"
E008,2025-07 (around meeting),data_access_issue_right_to_disconnect,Forge (Adrian Trimmer & Nina Wilson),The Waffle Co,Inappropriate request to contact staff member on medical leave,Project communications,To obtain necessary data access,Direct request from Senior Manager and Project Manager,Unreasonable request to violate employee rights; client blamed contractor for delays caused by client's decisions,Requested to contact Madeline Joyce on medical leave; The Waffle Co refused; Forge called it unreliability
E009,2025-07 (throughout),short_notice_meetings_unreasonable_hours,Nina Wilson (Forge Project Manager),The Waffle Co,Frequent short notice meeting requests including meetings outside business hours,Project meetings,Client project management approach,Meeting requests and scheduling,Shows The Waffle Company's professional responsiveness; client exercised significant control over contractor schedule,Nina Wilson frequently requested meetings at short notice; 5am meeting requested - The Waffle Co sent note-taking delegate
E010,2025-07 (throughout),outside_hours_work,The Waffle Co team,,Working outside normal business hours to meet project timelines,Development work,To accommodate client timelines and requirements,Extended work hours,The Waffle Company went significantly beyond normal expectations to deliver,2-3am sessions documented; outside normal business hours
E011,2025-07-28,project_termination,Forge,The Waffle Co,Unilateral termination of engagement before project completion,Written communication,We don't feel it is working and getting the result that we need,Termination notice,Cannot claim fitness for purpose when terminating before completion; client retained IP,"Forge: stop working together; send through any remaining invoices and we can review against the agreements we had"
E012,2025-07-28+,final_invoice_submission,The Waffle Co,Forge,Invoice B-412824-7 submitted,Invoice submission,Per client's request to send through any remaining invoices,Formal invoice,Submitted per client's request; not paid,Invoice B-412824-7: $10877.63 AUD (73.25 hours); T&M basis per Quote QU-0360
E013,2025-08-15,client_dispute_of_invoice_threatening_behavior,Legal Representatives of Forge,The Waffle Co,Formal dispute of invoice and rejection of payment with threatening behavior,Legal correspondence,Disputing validity and amount of invoice,Legal letter,Demonstrates pattern of unreasonable client behavior extending beyond contractual dispute; threatening conduct noted,Claims: fixed-price (contradicted); no notification (contradicted); quality issues (contradicted); data issues (contradicted); series of threats in keeping with overall culture of Forge
E014,2025-08 to 2025-09,settlement_offer,The Waffle Co,Forge,Settlement offer below full amount,Settlement correspondence,To avoid protracted litigation,Written settlement proposal,Commercial concession made solely in interests of avoiding litigation,Apparently rejected by Forge
E015,2025-09-16,legal_response,Cameron Stewart (Director),Legal Representatives of Forge,Comprehensive legal response to settlement dispute,Formal legal correspondence,To assert contractual entitlement and respond to Forge's position,Detailed written response with evidence,14-day response period; threatens legal proceedings costs credit reporting,Full entitlement to $10877.63; overwhelming documentary evidence; all defenses contradicted
E016,2025-09-16+,ongoing_dispute,The Waffle Co & Forge,,Continuing dispute over payment,Legal correspondence,Unresolved payment dispute,Legal process,14-day response period awaiting expiry,Invoice remains unpaid; Forge maintains unfounded; The Waffle Co maintains clear legal entitlement
